ID,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
702313-01,1,0.16176471,0,0,0,0.14495798,0,0,0,0,0.035714286,0.035714286,0.027310924,0,0.014705882,0,0.006302521,0.00210084,0.035714286,0.004201681,0.010504202
702313-02,1,0.087025316,0.003164557,0,0.004746835,0.15822785,0,0,0.026898734,0.004746835,0.025316456,0.022151899,0.015822785,0.017405063,0.017405063,0,0,0.006329114,0.026898734,0.007911392,0.026898734
702313-03,1,0.16304348,0.004347826,0,0,0.19347826,0,0.002173913,0,0,0.039130435,0.026086957,0,0,0.002173913,0,0.002173913,0.002173913,0.036956522,0,0.023913043
702313-04,1,0.10165975,0,0,0,0.21576763,0,0.002074689,0,0,0.03526971,0,0.018672199,0,0,0.01659751,0.012448133,0,0.041493776,0.024896266,0
702313-05,1,0.12300319,0.017571885,0,0,0.16134185,0,0.001597444,0.006389776,0.009584665,0.041533546,0,0.059105431,0.001597444,0,0,0,0,0.025559105,0,0
702313-06,1,0.1358811,0,0,0,0.20806794,0,0.006369427,0,0,0.033970276,0.002123142,0,0.014861996,0.002123142,0,0,0,0.06581741,0.010615711,0
702313-07,1,0.10617761,0,0.011583012,0.005791506,0.19305019,0.005791506,0,0,0.001930502,0.013513514,0,0.057915058,0,0,0.015444015,0,0,0,0.011583012,0.015444015
702313-08,1,0.13112392,0,0,0,0.15129683,0,0.014409222,0.007204611,0,0,0.011527378,0.030259366,0.011527378,0,0.0129683,0.018731988,0.0129683,0.004322767,0.025936599,0.023054755
702313-09,1,0.064914992,0,0.007727975,0,0.20401855,0,0,0.001545595,0.001545595,0.026275116,0.00927357,0.023183926,0.00927357,0,0,0.01236476,0,0.066460587,0.035548686,0.010819165
702313-10,1,0.11686144,0,0,0,0.18196995,0,0.005008347,0,0,0.035058431,0.013355593,0.01836394,0,0,0.011686144,0,0,0.021702838,0.023372287,0.003338898
702313-11,1,0.16701461,0,0,0,0.11691023,0,0.054279749,0,0,0,0.029227557,0.016701461,0.004175365,0,0.054279749,0.012526096,0,0,0,0.012526096
702314-1,1,0.086021505,0,0.001536098,0,0.015360983,0,0.02764977,0.021505376,0,0,0,0.026113671,0.016897081,0,0.14592934,0.010752688,0,0.016897081,0,0
702314-2,1,0.077419355,0,0,0.001612903,0,0,0,0.00483871,0,0,0.016129032,0,0,0,0.23709677,0.00483871,0,0.008064516,0,0
702314-3,1,0.082222222,0.013333333,0,0,0,0,0,0,0,0,0.006666667,0,0.004444444,0.033333333,0.19555556,0.008888889,0.004444444,0,0,0
702314-4,1,0.1028169,0,0,0.025352113,0,0,0.001408451,0,0,0.002816901,0,0.052112676,0,0.042253521,0.14929577,0,0,0,0,0.004225352
702314-5,1,0.14967105,0,0,0.023026316,0,0,0,0,0,0.008223684,0,0.018092105,0.013157895,0.011513158,0.15953947,0,0,0,0,0
702314-6,1,0.11797753,0,0.001404494,0.004213483,0,0.005617978,0.011235955,0.004213483,0,0,0,0.050561798,0,0,0.15308989,0.021067416,0.001404494,0.007022472,0.004213483,0.012640449
702314-7,1,0.11640212,0,0,0.002645503,0,0,0.023809524,0,0.005291005,0,0,0,0,0,0.25132275,0,0,0,0,0
702314-8,1,0.12183908,0,0,0,0,0,0.036781609,0,0,0.002298851,0.004597701,0,0.002298851,0.004597701,0.16321839,0,0,0,0,0
702314-9,1,0.10313901,0,0.002989537,0.00896861,0,0.002989537,0,0,0,0,0,0.016442451,0,0.007473842,0.23617339,0.014947683,0,0.005979073,0.005979073,0
702314-10,1,0.099836334,0,0,0,0,0,0.008183306,0.016366612,0,0.003273322,0.004909984,0.004909984,0.009819967,0.045826514,0.17184943,0,0,0.006546645,0,0
702314-11,1,0.11410788,0,0,0.018672199,0,0,0,0,0,0,0,0.01659751,0,0.006224066,0.17842324,0.031120332,0,0,0,0
702314-12,1,0.069084629,0,0,0.029360967,0,0,0,0.022452504,0,0.001727116,0,0,0.001727116,0,0.2417962,0,0,0,0,0
702314-13,1,0.080733945,0.001834862,0.005504587,0,0,0,0.003669725,0.009174312,0,0,0.005504587,0,0,0.001834862,0.24954128,0.001834862,0,0.001834862,0,0
702314-14,1,0.054347826,0.02173913,0,0.015217391,0,0,0.043478261,0,0,0.008695652,0,0.006521739,0,0,0.24782609,0,0,0.036956522,0,0
702314-15,1,0.053680982,0.009202454,0.001533742,0,0.003067485,0,0,0.015337423,0.004601227,0,0,0.018404908,0,0.016871166,0.2208589,0,0,0.013803681,0,0
702314-16,1,0.12199037,0,0,0,0.017656501,0,0.004815409,0.011235955,0,0,0,0,0.009630819,0.054574639,0.14606742,0,0,0.006420546,0,0
702314-17,1,0.079012346,0,0.002469136,0.02962963,0,0,0.004938272,0,0,0.049382716,0,0,0,0,0.17530864,0.009876543,0,0,0,0
702314-18,1,0.13804714,0.003367003,0,0.015151515,0,0,0,0,0,0,0,0.047138047,0,0,0.15319865,0,0,0,0.001683502,0
702314-19,1,0.080858086,0,0,0.001650165,0.00660066,0,0.01980198,0.001650165,0,0,0,0.00660066,0,0,0.21617162,0,0,0.034653465,0,0
702314-20,1,0.08988764,0,0,0,0,0,0.011235955,0,0.001872659,0.031835206,0.02247191,0,0.001872659,0.013108614,0.16853933,0,0,0,0,0.009363296
702314-21,1,0.070615034,0,0,0,0.025056948,0.011389522,0.004555809,0.01594533,0,0,0,0,0.004555809,0,0.12528474,0.043280182,0,0.036446469,0,0
702314-22,1,0.06640625,0,0.001953125,0.009765625,0.0078125,0,0.03125,0.001953125,0,0,0,0.013671875,0.00390625,0,0.22070313,0.00390625,0,0.04296875,0,0
702315-1,1,0.1,0.02,0.022,0,0.024,0,0.152,0,0.032,0.01,0,0.004,0,0,0.012,0.042,0.03,0,0.014,0.018
702315-2,1,0.10323887,0.026315789,0,0.002024292,0,0,0.22874494,0,0.024291498,0.004048583,0,0,0,0,0.010121457,0.032388664,0.01417004,0,0,0
702315-3,1,0.089928058,0.050359712,0,0.007194245,0,0.017985612,0.13309353,0.039568345,0.001798561,0,0.021582734,0,0.010791367,0,0.028776978,0.03057554,0,0.003597122,0,0.017985612
702315-4,1,0.11947627,0,0,0.009819967,0,0,0.18003273,0.001636661,0.027823241,0,0,0.009819967,0,0,0.009819967,0.022913257,0.016366612,0.008183306,0,0.039279869
702315-5,1,0.072041166,0.051457976,0,0,0,0,0.18010292,0,0.037735849,0,0,0.001715266,0,0.001715266,0.005145798,0.041166381,0,0,0,0.003430532
702315-6,1,0.076923077,0.009157509,0,0.001831502,0.005494506,0.003663004,0.22161172,0,0.031135531,0,0.032967033,0,0,0.027472527,0,0,0,0,0.014652015,0
702315-7,1,0.096226415,0,0.001886793,0,0,0.001886793,0.18679245,0,0,0,0.049056604,0,0,0.024528302,0,0.018867925,0,0,0.013207547,0.10566038
702315-8,1,0.12463768,0.030434783,0,0,0,0,0.15362319,0,0,0,0.01884058,0,0.002898551,0.011594203,0.002898551,0.017391304,0,0.001449275,0,0.052173913
702316-1,1,0.14419476,0.001872659,0,0,0,0,0,0,0.005617978,0.078651685,0.050561798,0.007490637,0.005617978,0.11985019,0,0.056179775,0,0,0,0
702316-2,1,0.11710037,0.00929368,0,0,0,0,0.007434944,0.024163569,0,0.042750929,0.016728625,0,0.016728625,0.11152416,0,0.035315985,0,0.029739777,0,0.046468401
702316-3,1,0.12115732,0.037974684,0,0,0,0.03074141,0,0.01084991,0,0.070524412,0.012658228,0,0.014466546,0.084990958,0.014466546,0.047016275,0.001808318,0.01084991,0,0.023508137
