Category: All categories

Month,Nicaea: (Worldwide),Nicea: (Worldwide),Nicene: (Worldwide)
2004-01,12,31,28
2004-02,8,33,46
2004-03,11,50,54
2004-04,8,50,43
2004-05,8,38,30
2004-06,9,29,33
2004-07,0,34,24
2004-08,5,37,25
2004-09,11,40,41
2004-10,9,33,38
2004-11,11,37,33
2004-12,5,42,35
2005-01,16,39,32
2005-02,9,46,43
2005-03,7,52,31
2005-04,16,44,48
2005-05,12,39,32
2005-06,5,30,25
2005-07,8,31,23
2005-08,10,25,25
2005-09,6,35,36
2005-10,8,33,36
2005-11,9,30,30
2005-12,8,31,35
2006-01,4,30,36
2006-02,4,30,35
2006-03,7,42,36
2006-04,10,52,35
2006-05,21,97,45
2006-06,11,57,33
2006-07,6,31,24
2006-08,7,26,19
2006-09,5,31,25
2006-10,9,31,34
2006-11,7,35,33
2006-12,8,28,29
2007-01,7,27,29
2007-02,5,78,27
2007-03,6,35,21
2007-04,6,27,29
2007-05,5,29,24
2007-06,5,31,20
2007-07,3,26,14
2007-08,4,22,19
2007-09,6,31,26
2007-10,10,31,29
2007-11,7,31,24
2007-12,7,34,23
2008-01,5,25,22
2008-02,4,22,21
2008-03,5,31,25
2008-04,2,30,24
2008-05,7,26,22
2008-06,4,22,15
2008-07,3,24,15
2008-08,4,24,18
2008-09,4,30,26
2008-10,6,29,22
2008-11,6,28,21
2008-12,4,26,22
2009-01,4,26,22
2009-02,4,26,21
2009-03,4,28,26
2009-04,5,29,24
2009-05,4,38,19
2009-06,3,23,17
2009-07,2,22,16
2009-08,3,22,16
2009-09,4,24,20
2009-10,3,27,25
2009-11,4,27,21
2009-12,4,22,21
2010-01,4,25,21
2010-02,3,23,22
2010-03,4,27,22
2010-04,4,26,21
2010-05,4,27,19
2010-06,2,25,13
2010-07,3,20,14
2010-08,3,23,13
2010-09,3,23,21
2010-10,3,23,21
2010-11,3,23,19
2010-12,5,22,15
2011-01,3,21,20
2011-02,3,23,20
2011-03,4,25,20
2011-04,4,25,20
2011-05,3,22,17
2011-06,4,22,16
2011-07,2,20,14
2011-08,3,19,16
2011-09,4,21,17
2011-10,4,23,23
2011-11,3,21,22
2011-12,4,19,20
2012-01,3,21,19
2012-02,3,21,20
2012-03,5,25,20
2012-04,3,26,19
2012-05,3,24,17
2012-06,2,19,14
2012-07,2,19,14
2012-08,3,20,15
2012-09,3,21,18
2012-10,4,22,21
2012-11,4,20,20
2012-12,3,20,17
2013-01,3,17,18
2013-02,3,22,20
2013-03,4,27,21
2013-04,3,20,18
2013-05,4,21,17
2013-06,3,20,13
2013-07,4,19,15
2013-08,3,22,14
2013-09,3,20,19
2013-10,4,16,18
2013-11,3,18,17
2013-12,4,19,15
2014-01,3,18,16
2014-02,4,20,17
2014-03,3,20,18
2014-04,4,21,17
2014-05,3,21,15
2014-06,3,18,14
2014-07,3,19,13
2014-08,3,18,15
2014-09,3,19,16
2014-10,4,21,17
2014-11,4,19,16
2014-12,3,17,15
2015-01,3,18,15
2015-02,3,21,17
2015-03,3,28,18
2015-04,3,23,17
2015-05,3,22,16
2015-06,2,19,14
2015-07,2,19,11
2015-08,3,19,14
2015-09,2,20,16
2015-10,4,21,16
2015-11,3,19,15
2015-12,4,22,14
2016-01,3,18,14
2016-02,3,23,16
2016-03,3,24,16
2016-04,3,18,13
2016-05,3,25,15
2016-06,2,33,12
2016-07,2,100,9
2016-08,2,16,10
2016-09,2,18,15
2016-10,3,18,15
2016-11,3,16,13
2016-12,3,18,11
2017-01,3,23,14
2017-02,3,19,14
2017-03,3,20,16
2017-04,3,22,14
2017-05,3,22,13
2017-06,2,19,12
2017-07,2,22,11
2017-08,2,21,11
2017-09,3,19,15
2017-10,3,22,16
2017-11,3,20,15
2017-12,3,17,13
2018-01,2,20,13
2018-02,3,21,15
2018-03,3,23,15
2018-04,3,22,14
2018-05,3,19,14
2018-06,2,21,12
2018-07,2,19,9
2018-08,2,20,12
2018-09,3,22,15
2018-10,3,20,15
2018-11,3,17,13
2018-12,3,18,14
2019-01,2,16,13
2019-02,3,19,15
2019-03,3,23,16
2019-04,3,23,13
2019-05,3,22,12
2019-06,2,21,12
2019-07,2,22,9
2019-08,2,22,11
2019-09,3,23,14
2019-10,3,20,13
2019-11,2,18,12
2019-12,3,18,11
2020-01,3,20,14
2020-02,3,20,14
2020-03,2,18,14
2020-04,3,19,16
2020-05,3,19,14
2020-06,3,17,13
2020-07,3,19,11
2020-08,3,18,12
2020-09,3,16,17
2020-10,3,17,14
2020-11,3,14,12
2020-12,3,18,11
2021-01,2,14,12
2021-02,2,14,13
2021-03,3,18,13
2021-04,3,15,13
2021-05,3,17,12
2021-06,2,16,9
2021-07,2,19,9
2021-08,2,19,9
2021-09,3,16,13
2021-10,3,14,12
2021-11,2,14,11
2021-12,4,13,11
2022-01,4,15,12
2022-02,4,20,14
2022-03,5,18,15
2022-04,5,22,16
2022-05,5,20,14
2022-06,4,18,11
2022-07,4,17,9
2022-08,4,17,11
2022-09,5,18,14
2022-10,5,17,15
2022-11,5,17,15
2022-12,5,19,12
2023-01,5,23,14
